,offline_units,online_units
amazon_execution,-0.13442153223717732,0.19166136186556706
amazon_retail_execution,0.07201818887255196,0.2952394458817749
bvod_execution,0.04856666358564774,0.05768732375739422
citrus_execution,0.00525299628575247,0.015418967532613499
criteo_execution,0.0960497720627392,0.017972939577736543
google_execution,0.22260208784286892,0.23879665108028086
google_video_execution,0.20928936716304192,0.12198974942863165
influencer_management_execution,0.07757240765734619,0.22815000254494555
linear_execution,0.02594990614535269,-0.17791260868494582
meta_execution,0.11760156744352655,0.19675803095837863
meta_collab_ads_execution,0.1484797149361577,0.016715244852113207
pinterest_execution,0.22924146547554836,0.25916089059505826
tesco_execution,0.24966878076652294,0.4000910237585908
testers_and_merchandising_execution,-0.0003088217312197243,0.09425971566925391
the_hut_group_execution,0.24489196966931587,0.3001121308971986
tik_tok_execution,0.0999587734711554,-0.1003524155631223
youtube_execution,-0.059496424495883445,-0.02922853055909274
