variable,VIF,multicollinearity_risk
offline_price,995.9200339484445,HIGH
online_price,856.9267018279148,HIGH
week_num,18.475293757487393,HIGH
promo_distribution,17.679109439213594,HIGH
amazon_execution,9.653430008827149,MODERATE
the_hut_group_execution,8.446370283149554,MODERATE
google_execution,7.924979451913958,MODERATE
linear_execution,6.135535212923373,MODERATE
meta_execution,4.971112858569431,LOW
bvod_execution,4.2969910883692215,LOW
meta_collab_ads_execution,4.093781482486348,LOW
amazon_retail_execution,3.754834711626783,LOW
tesco_execution,3.745703196718509,LOW
youtube_execution,2.9413443758544995,LOW
pinterest_execution,2.8440124176514914,LOW
criteo_execution,2.6997450576183457,LOW
influencer_management_execution,2.4370644870628455,LOW
citrus_execution,2.3760171409872335,LOW
google_video_execution,2.0695854922531063,LOW
tik_tok_execution,1.8960814575976608,LOW
testers_and_merchandising_execution,1.6733481280862528,LOW
