channel,due_to_units,incremental_revenue,investment,roi,significant
pinterest,1107024.1899507898,3156646.60795177,75017.15,42.078999374833224,True
google_video,1072768.245669033,3058966.799957692,131458.4680680115,23.269454185143108,True
the_hut_group,570235.8063303237,1626010.4703450743,108169.698,15.032033003781468,False
amazon_retail,2692476.0211003334,7677515.429338231,590135.6822009999,13.00974616668455,False
tesco,1822219.7214098945,5196005.430366484,600638.298,8.650806063596173,True
citrus,1729355.480609402,4931205.805043101,621308.311,7.9368096607404,True
meta_collab_ads,1161461.8325971598,3311873.929598818,496694.8175462,6.667824613029639,False
meta,2051280.3197463974,5849164.925270084,1425981.6851358,4.101851367546178,False
criteo,600125.6218280968,1711240.391750445,513252.9785669,3.3341070840515212,False
tik_tok,465962.5186588354,1328678.2866257515,1045824.702,1.2704598429209328,False
linear,3019897.0995348375,8611146.912728067,10017370.961000001,0.8596214462111169,False
bvod,151447.18306133104,431847.1457391122,869392.0916758999,0.49672311247581513,False
testers_and_merchandising,-637933.1525630549,-1819047.4430623436,954174.2237131001,-1.9064101689769526,False
youtube,-1696220.9617788475,-4836723.708425833,1468743.8339910842,-3.293102307216354,False
influencer_management,-1075803.7146532382,-3067622.3496371983,899892.8666170301,-3.4088750599494357,False
amazon,-1995142.4963266319,-5689089.588629359,808266.8619105731,-7.038627780905859,False
google,-795674.7737399188,-2268842.9921938353,149690.64977481548,-15.156878506486075,False
