channel,due_to_units,incremental_revenue,investment,roi,significant
the_hut_group,271112.29180976865,977578.6090123157,108169.698,9.037453437397188,True
google_video,274251.82887487096,988899.1738474906,131458.4680680115,7.522521663160356,True
pinterest,103613.63228206063,373610.76417768205,75017.15,4.980338018408885,False
amazon_retail,486942.17796564306,1755819.530820435,590135.6822009999,2.975281081584224,False
meta_collab_ads,359373.5916765194,1295831.8249671971,496694.8175462,2.6089094936986443,False
bvod,577933.7348470915,2083917.526725563,869392.0916758999,2.396982381917531,True
citrus,265406.5771422515,957004.9029259596,621308.311,1.5403059736729638,False
tesco,229622.87696641148,827975.7851028665,600638.298,1.3784931594602823,False
meta,534650.0546191791,1927844.928070293,1425981.6851358,1.3519422781974226,False
youtube,137774.82112478412,496789.41922187724,1468743.8339910842,0.3382410245576513,False
influencer_management,-2364.817381615652,-8527.075150506613,899892.8666170301,-0.009475655899532209,False
amazon,-5030.863667449694,-18140.323602911103,808266.8619105731,-0.022443483034837265,False
testers_and_merchandising,-16719.52323504959,-60287.37449845107,954174.2237131001,-0.06318277417288334,False
tik_tok,-166772.40590160748,-601349.1144006344,1045824.702,-0.5749999146612569,False
linear,-3449753.73176355,-12439146.274115717,10017370.961000001,-1.2417575751705974,True
criteo,-574476.6826336764,-2071452.0635349655,513252.9785669,-4.035927992700313,True
google,-204951.3696157612,-739015.0903402369,149690.64977481548,-4.936948910649806,True
